iter	Passed	Remaining
0	1	966
1	3	864
2	4	800
3	6	751
4	7	719
5	8	697
6	9	683
7	10	670
8	12	685
9	14	687
10	15	683
11	16	678
12	17	670
13	19	662
14	20	655
15	21	648
16	22	642
17	23	636
18	24	631
19	26	627
20	27	629
21	28	628
22	30	627
23	31	625
24	32	621
25	33	617
26	35	614
27	36	611
28	37	607
29	38	604
30	39	601
31	40	598
32	42	598
33	43	597
34	44	595
35	46	593
36	47	591
37	48	589
38	49	587
39	50	586
40	52	583
41	53	581
42	54	579
43	55	576
44	56	574
45	58	574
46	59	574
47	60	573
48	62	572
49	63	571
50	64	569
51	65	567
52	67	565
53	68	563
54	69	561
55	70	559
56	71	557
57	73	557
58	74	557
59	75	555
60	77	554
61	78	553
62	79	552
63	81	552
64	82	551
65	83	550
66	85	549
67	86	548
68	87	546
69	88	546
70	90	545
71	91	544
72	92	543
73	94	542
74	95	540
75	96	539
76	97	538
77	99	536
78	100	534
79	101	533
80	102	531
81	103	529
82	105	529
83	106	528
84	108	527
85	109	525
86	110	524
87	111	522
88	112	521
89	114	519
90	115	518
91	116	516
92	117	514
93	118	513
94	120	512
95	121	511
96	122	510
97	124	508
98	125	507
99	126	505
100	127	504
101	128	502
102	129	500
103	131	499
104	132	497
105	133	495
106	134	494
107	136	493
108	137	492
109	138	491
110	139	489
111	141	488
112	142	487
113	143	485
114	144	484
115	145	482
116	147	481
117	148	479
118	149	478
119	150	476
120	151	476
121	153	474
122	154	473
123	155	472
124	157	471
125	158	469
126	159	468
127	160	466
128	161	465
129	163	463
130	164	462
131	165	461
132	167	460
133	168	459
134	169	458
135	170	457
136	172	455
137	173	454
138	174	453
139	175	451
140	176	450
141	177	448
142	179	447
143	180	445
144	181	444
145	182	443
146	184	442
147	185	440
148	186	439
149	187	438
150	189	437
151	190	435
152	191	434
153	193	434
154	194	433
155	195	431
156	197	430
157	198	429
158	199	428
159	201	427
160	202	426
161	203	424
162	205	424
163	206	423
164	207	422
165	209	420
166	210	420
167	212	419
168	213	417
169	214	416
170	215	415
171	217	414
172	218	412
173	219	411
174	220	409
175	222	408
176	223	407
177	224	406
178	225	404
179	226	403
180	228	402
181	229	400
182	230	399
183	231	398
184	232	396
185	234	395
186	235	393
187	236	392
188	237	391
189	238	389
190	240	388
191	241	386
192	242	385
193	243	384
194	245	383
195	246	382
196	247	380
197	248	379
198	249	378
199	251	376
200	252	375
201	253	374
202	254	372
203	255	371
204	257	369
205	258	368
206	259	367
207	260	366
208	262	364
209	263	363
210	264	362
211	265	360
212	266	359
213	267	358
214	269	356
215	270	355
216	271	354
217	272	352
218	273	351
219	275	350
220	276	349
221	277	347
222	278	346
223	280	345
224	281	343
225	282	342
226	283	341
227	285	340
228	286	339
229	287	337
230	288	336
231	290	335
232	291	333
233	292	332
234	294	331
235	295	330
236	296	329
237	297	327
238	299	326
239	300	325
240	301	323
241	302	322
242	303	321
243	304	319
244	306	318
245	307	317
246	308	316
247	309	314
248	310	313
249	312	312
250	313	310
251	314	309
252	315	308
253	316	306
254	317	305
255	319	304
256	320	303
257	321	301
258	322	300
259	324	299
260	325	297
261	326	296
262	327	295
263	328	293
264	330	292
265	331	291
266	332	290
267	333	288
268	334	287
269	336	286
270	337	285
271	338	283
272	339	282
273	341	281
274	342	279
275	343	278
276	344	277
277	345	276
278	346	274
279	348	273
280	349	272
281	350	270
282	351	269
283	352	268
284	354	267
285	355	265
286	356	264
287	357	263
288	358	261
289	359	260
290	361	259
291	362	258
292	363	256
293	364	255
294	365	254
295	366	252
296	368	251
297	369	250
298	370	249
299	371	247
300	372	246
301	374	245
302	375	243
303	376	242
304	377	241
305	378	240
306	379	238
307	381	237
308	382	236
309	383	235
310	385	234
311	386	232
312	387	231
313	389	230
314	390	229
315	392	228
316	393	227
317	394	226
318	396	224
319	397	223
320	399	222
321	400	221
322	401	220
323	403	218
324	404	217
325	405	216
326	406	215
327	408	214
328	409	212
329	410	211
330	411	210
331	413	209
332	414	207
333	416	206
334	417	205
335	418	204
336	419	203
337	421	201
338	422	200
339	423	199
340	424	198
341	426	196
342	427	195
343	428	194
344	429	193
345	431	191
346	432	190
347	433	189
348	434	188
349	436	186
350	437	185
351	438	184
352	440	183
353	441	182
354	442	180
355	444	179
356	445	178
357	446	177
358	447	175
359	449	174
360	450	173
361	452	172
362	453	171
363	454	169
364	456	168
365	457	167
366	458	166
367	460	165
368	461	163
369	462	162
370	463	161
371	465	160
372	466	158
373	467	157
374	469	156
375	470	155
376	471	153
377	472	152
378	474	151
379	475	150
380	476	148
381	478	147
382	479	146
383	480	145
384	481	143
385	483	142
386	484	141
387	485	140
388	487	138
389	488	137
390	489	136
391	490	135
392	492	133
393	493	132
394	494	131
395	495	130
396	497	128
397	498	127
398	499	126
399	500	125
400	501	123
401	502	122
402	504	121
403	505	120
404	506	118
405	507	117
406	508	116
407	510	115
408	511	113
409	512	112
410	513	111
411	514	109
412	516	108
413	517	107
414	518	106
415	519	104
416	520	103
417	522	102
418	523	101
419	524	99
420	525	98
421	526	97
422	528	96
423	529	94
424	530	93
425	531	92
426	532	91
427	533	89
428	535	88
429	536	87
430	537	86
431	538	84
432	540	83
433	541	82
434	542	81
435	543	79
436	544	78
437	546	77
438	547	76
439	548	74
440	549	73
441	550	72
442	552	71
443	553	69
444	554	68
445	555	67
446	556	66
447	558	64
448	559	63
449	560	62
450	561	61
451	562	59
452	564	58
453	565	57
454	566	56
455	568	54
456	569	53
457	571	52
458	572	51
459	573	49
460	574	48
461	575	47
462	576	46
463	578	44
464	579	43
465	580	42
466	581	41
467	582	39
468	584	38
469	585	37
470	586	36
471	587	34
472	589	33
473	590	32
474	591	31
475	593	29
476	594	28
477	595	27
478	596	26
479	597	24
480	599	23
481	601	22
482	602	21
483	603	19
484	604	18
485	605	17
486	607	16
487	608	14
488	609	13
489	610	12
490	611	11
491	612	9
492	614	8
493	615	7
494	616	6
495	618	4
496	619	3
497	620	2
498	621	1
499	622	0
