Ethyl_acetate(Ca0),NaOH(Cb0),Temperature(T(°C)),Time_of_reaction(min),Conversion(X_A)
0.044,0.027,31.010000000000048,21.8175,0.6078
0.096,0.059,30.49000000000001,24.916999999999998,0.61
0.076,0.089,53.57000000000005,11.261666666666667,0.9976
0.064,0.076,30.58000000000004,20.62183333333333,0.9924
0.024,0.083,31.370000000000005,19.293666666666663,1.0
0.024,0.069,48.43000000000001,25.820833333333333,1.0
0.015,0.072,37.59000000000003,27.65216666666667,1.0
0.088,0.086,49.03000000000003,5.304,0.9081
0.064,0.032,24.140000000000043,21.8505,0.4997
0.074,0.054,38.910000000000025,6.295833333333333,0.704
0.012,0.03,23.03000000000003,18.7215,0.9715
0.097,0.099,24.04000000000002,12.190833333333334,0.9276
0.085,0.095,53.58000000000004,12.669333333333332,0.9971
0.029,0.014,26.720000000000027,13.824000000000002,0.4508
0.026,0.074,40.48000000000002,20.532333333333334,1.0
0.027,0.093,36.24000000000001,13.351166666666668,1.0
0.037,0.026,34.01000000000005,23.3175,0.6943
0.057,0.061,53.34000000000003,15.113166666666666,0.9853
0.049,0.092,22.610000000000014,6.708833333333333,0.9633
0.036,0.013,45.08000000000004,24.594,0.36
0.065,0.073,55.57000000000005,12.144,0.9935
0.023,0.037,41.460000000000036,15.819166666666666,0.9936
0.036,0.093,54.64000000000004,22.136166666666668,1.0
0.043,0.097,23.680000000000007,13.311333333333332,0.9993
0.051,0.095,36.51000000000005,6.414666666666666,0.9939
0.081,0.053,30.960000000000036,14.348,0.6486
0.028,0.088,47.43000000000001,28.61116666666667,1.0
0.056,0.086,56.200000000000045,21.043333333333333,1.0
0.063,0.039,30.83000000000004,21.787,0.6196
0.014,0.085,44.75,20.807000000000002,1.0
0.065,0.013,28.78000000000003,9.974833333333333,0.1996
0.025,0.064,41.64000000000004,15.458333333333334,1.0
0.016,0.031,38.09000000000003,23.773500000000002,0.9986
0.095,0.021,55.870000000000005,7.5343333333333335,0.22
0.097,0.017,43.150000000000034,11.946333333333333,0.18
0.083,0.073,34.08000000000004,11.908,0.8561
0.037,0.041,25.840000000000032,15.8005,0.9033
0.019,0.075,27.140000000000043,29.509166666666665,1.0
0.072,0.016,29.74000000000001,6.6875,0.218
0.05,0.038,30.629999999999995,17.967499999999998,0.7464
0.021,0.059,51.620000000000005,9.484166666666665,1.0
0.055,0.081,41.49000000000001,29.266833333333334,1.0
0.013,0.039,40.170000000000016,7.832666666666666,0.9814
0.092,0.066,25.870000000000005,15.09,0.7161
0.033,0.09,51.950000000000045,23.447166666666664,1.0
0.07,0.065,47.150000000000034,22.613833333333332,0.9242
0.038,0.031,24.220000000000027,15.568166666666666,0.7441
0.057,0.012,46.620000000000005,13.663166666666665,0.21
0.059,0.088,40.870000000000005,14.940333333333333,0.9999
0.027,0.012,24.710000000000036,11.606833333333332,0.3915
0.097,0.089,37.89000000000004,10.133333333333333,0.8923
0.08,0.058,38.81,17.076,0.7197
0.095,0.095,27.650000000000034,11.713333333333333,0.9242
0.091,0.082,54.950000000000045,12.1865,0.8965
0.064,0.1,51.60000000000002,21.418833333333335,1.0
0.093,0.042,45.27000000000004,29.2135,0.45
0.018,0.079,38.03000000000003,20.091,1.0
0.028,0.046,36.26000000000005,6.9245,0.9352
0.014,0.053,44.629999999999995,6.889666666666667,0.9972
0.039,0.066,40.94,28.785500000000003,1.0
0.045,0.089,24.03000000000003,12.432333333333334,0.9972
0.034,0.099,39.79000000000002,7.301666666666667,0.9998
0.085,0.079,50.07000000000005,19.976166666666664,0.9265
0.042,0.048,37.920000000000016,20.591166666666666,0.9804
0.035,0.048,23.670000000000016,21.212666666666667,0.978
0.059,0.076,49.370000000000005,11.685,0.9983
0.023,0.031,28.900000000000034,5.377833333333333,0.7134
0.082,0.02,30.900000000000034,29.125333333333334,0.24
0.017,0.042,27.610000000000014,11.272333333333334,0.9721
0.099,0.036,33.410000000000025,21.900666666666666,0.36
0.08,0.037,48.34000000000003,22.665666666666667,0.46
0.028,0.031,40.03000000000003,20.250166666666665,0.9524
0.01,0.014,29.02000000000004,12.822666666666667,0.739
0.083,0.012,52.57000000000005,11.777333333333333,0.14
0.074,0.099,52.64000000000004,19.941666666666666,1.0
0.076,0.048,52.32000000000005,26.652333333333335,0.63
